Epi week,CONAKRY,GUECKEDOU,MACENTA,DABOLA,KISSIDOUGO,DINGUIRAYE,TELIMELE,BOFFA,KOUROUSSA,SIGUIRI,PITA,N'ZEREKORE,YOMOU,DUBREKA,FORECARIAH,KEROUANE,COYAH,DALABA,BEYLA,KINDIA,LOLA,BOKE,FARANAH,KANKAN
2014-12-07,16.0,2.0,15.0,1.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,6.0,4.0,4.0,18.0,0.0,2.0,4.0,3.0,0.0,8.0,5.0
2014-12-14,21.0,2.0,3.0,1.0,1.0,0.0,5.0,0.0,2.0,4.0,0.0,6.0,0.0,3.0,13.0,5.0,17.0,0.0,0.0,21.0,2.0,0.0,12.0,1.0
2014-12-21,18.0,3.0,11.0,1.0,58.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,7.0,6.0,19.0,0.0,1.0,10.0,6.0,0.0,0.0,1.0
2014-12-28,26.0,1.0,12.0,1.0,14.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,19.0,1.0,4.0,13.0,0.0,1.0,16.0,7.0,0.0,3.0,1.0
2015-01-04,29.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,5.0,12.0,0.0,0.0,2.0
2015-01-11,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,5.0,2.0
2015-01-18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
2015-01-25,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
2015-02-01,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0
